city,country,cloudiness,humidity,latitude,longitude,max_temp,wind_speed
gornopravdinsk,RU,2,43,60.05,69.9,29.25,4.99
kutum,SD,1,4,14.2,24.6667,88.84,16.02
te anau,NZ,87,91,-45.4167,167.7167,43.7,4.09
puerto ayora,EC,72,98,-0.7393,-90.3518,75.99,1.99
ribeira grande,PT,75,88,38.5167,-28.7,64.4,14.97
ushuaia,AR,75,57,-54.8,-68.3,44.6,5.57
santa flavia,IT,100,82,38.085,13.5351,57.99,1.01
kapaa,US,40,88,22.0752,-159.319,66.2,6.91
kodiak,US,90,93,57.79,-152.4072,35.6,6.91
saint-philippe,RE,90,65,-21.3585,55.7679,84.2,3.44
nizhniy kuranakh,RU,100,64,58.8353,125.4869,32.54,16.22
rikitea,PF,100,73,-23.1203,-134.9692,77.09,12.01
lamu,KE,85,70,-2.2717,40.902,84.25,10.4
aplahoue,BJ,81,37,6.9333,1.6833,97.03,7.49
hobart,AU,75,58,-42.8794,147.3294,52.0,9.22
faanui,PF,21,77,-16.4833,-151.75,81.0,10.13
kotra,IN,69,11,25.8167,79.3167,98.69,3.36
zabaykalsk,RU,32,26,49.6333,117.3167,34.18,4.32
jamestown,US,90,100,42.097,-79.2353,37.0,11.5
